# author : ppani@cern.ch (please report any problems)
# date   : 14/10/2015
#          @modified 09/03/17 : (martin) add NLO kfactors and uncertainties (xsection+PDF+scales) (obo Eitan Gozani)
#        @modified 28/07/16 : fix width accounted in the calculation . Move to rel. uncertainties as for other grids
# notes  : it assumes that g = g_q = g_chi = 1 .  For a proper rescaling look at Sec 2.5.3 of the DM Forum report (https://twiki.cern.ch/twiki/pub/AtlasProtected/HeavyQuarkDMRun2/doc_1.pdf)
#          Pre-computed values for different settings are also available at https://twiki.cern.ch/twiki/bin/view/AtlasProtected/TTPhiValidation 
#
# Note: pseudoscalar models have a problem in ami. Filter comes from validation logfiles
#
#DSID     FS   CROSSECTION[pb]  K-FACTOR   FILTEREFF      REL.UNCERT
388554    0   0.0008404          1.0          1.0         0.0046787
388555    0   0.0002379          1.0          1.0         0.0040836
388556    0   0.0002418          1.0          1.0         0.0046732
388557    0   0.0002654          1.0          1.0         0.0046834
389742    0    0.636081          0.897999     0.0959276   0.106175
389743    0    0.581361          0.906666     0.096544    0.106167
389744    0     0.43743          0.901859     0.0975979   0.107357
389745    0    0.275796          0.896315     0.0987021   0.109989
389746    0     0.18056          0.88724      0.100201    0.110707
389747    0     0.11792          0.913331     0.100388    0.113173
389748    0   0.0775646          0.962166     0.101604    0.114975
389749    0   0.0521202          1.02513      0.102962    0.120643
389750    0   0.0279574          1.06591      0.102989    0.121537
389751    0    0.014241          1.10386      0.103279    0.123163
389752    0   0.0091834          1.15752      0.103735    0.126995
389753    0  0.00630875          1.18724      0.107809    0.129902
389754    0    0.003291          1.2522       0.1079      0.134039
389755    0  0.00042333          1.4256       0.110976    0.148087
389756    0   0.0223254          0.873892     0.0978208   0.108757
389757    0   0.0116186          0.863271     0.0987799   0.109204
389758    0  0.00364458          0.875547     0.100397    0.115309
389759    0  0.00178946          0.885742     0.102143    0.120311
389760    0 0.000971045          0.919628     0.103476    0.124371
389761    0  0.00056815          0.92546      0.103333    0.12722
389762    0   0.0003504          0.942066     0.10587     0.130474
389763    0  0.00022396          0.953742     0.107394    0.131931
389764    0  0.00014811          0.962798     0.106428    0.135367
389765    0 6.92015e-05          0.986106     0.109549    0.143207
389766    0 3.46225e-05          1.00108      0.109701    0.147268
389767    0  3.3751e-06          1.06901      0.11676     0.173075
389768    0    0.636009          0.8981       0.50229     0.106175
389769    0    0.581519          0.906419     0.519697    0.106167
389770    0    0.437436          0.901847     0.570686    0.107357
389771    0    0.275857          0.896116     0.631312    0.109989
389772    0    0.180577          0.887155     0.669228    0.110707
389773    0    0.118138          0.91165      0.690015    0.113173
389774    0   0.0776715          0.960842     0.707692    0.114975
389775    0   0.0522152          1.02326      0.723146    0.120643
389776    0    0.027985          1.06486      0.737282    0.121537
389777    0    0.014243          1.1037       0.74807     0.123163
389778    0   0.0091856          1.15725      0.758565    0.126995
389779    0  0.00629925          1.18903      0.762829    0.129902
389780    0  0.00329275          1.25154      0.783837    0.134039
389781    0 0.000423625          1.42461      0.829993    0.148087
389782    0    0.022325          0.873908     0.589302    0.108757
389783    0    0.011615          0.863539     0.627995    0.109204
389784    0   0.0036464          0.87511      0.683126    0.115309
389785    0   0.0017865          0.88721      0.714797    0.120311
389786    0 0.000968725          0.92183      0.732593    0.124371
389787    0   0.0005679          0.925867     0.746422    0.12722
389788    0     0.00035          0.943143     0.750309    0.130474
389789    0 0.000224275          0.952402     0.76353     0.131931
389790    0   0.0001481          0.962863     0.770386    0.135367
389791    0 6.93725e-05          0.983675     0.788905    0.143207
389792    0   3.471e-05          0.998559     0.802318    0.147268
389793    0 3.38575e-06          1.06564      0.836428    0.173075
389690    0      28.218          0.872493     0.0877555   0.0894905
389691    0     15.0589          0.868592     0.0890946   0.089495
389692    0     4.29701          0.848497     0.0921059   0.087517
389693    0    0.999657          0.823583     0.0987697   0.0877049
389694    0    0.330616          0.802442     0.104462    0.0898765
389695    0    0.135988          0.830956     0.1097      0.0954139
389696    0   0.0675014          0.886945     0.112365    0.105096
389697    0    0.039188          0.949525     0.11253     0.110934
389698    0   0.0251928          1.00426      0.112284    0.115217
389699    0   0.0147615          1.06222      0.11191     0.118999
389700    0   0.0091771          1.11582      0.110506    0.121868
389701    0  0.00610185          1.16194      0.110319    0.126022
389702    0  0.00306495          1.23134      0.109076    0.130078
389703    0  0.00039353          1.42403      0.11236     0.148088
389704    0    0.140798          0.835949     0.0925879   0.0895105
389705    0   0.0327186          0.8188       0.097566    0.0906859
389706    0  0.00292826          0.807305     0.107592    0.0987951
389707    0  0.00089945          0.839735     0.112776    0.111202
389708    0  0.00039914          0.882648     0.112491    0.119911
389709    0  0.00021463          0.905279     0.110268    0.12505
389710    0  0.00012763          0.937867     0.110932    0.13058
389711    0  8.0569e-05          0.957564     0.109899    0.134374
389712    0 5.28445e-05          0.975314     0.111599    0.140084
389713    0 2.44965e-05          1.00178      0.10992     0.146766
389714    0  1.2108e-05          1.02494      0.113749    0.153748
389715    0  1.0909e-06          1.09268      0.11876     0.183424
389716    0     28.2226          0.872351     0.226726    0.0894905
389717    0     15.0587          0.8686       0.258708    0.089495
389718    0     4.29967          0.847973     0.344447    0.087517
389719    0    0.999872          0.823406     0.468026    0.0877049
389720    0    0.330605          0.802468     0.57497     0.0898765
389721    0     0.13605          0.830577     0.652859    0.0954139
389722    0    0.067537          0.886477     0.706002    0.105096
389723    0   0.0392113          0.948962     0.739224    0.110934
389724    0    0.025235          1.00258      0.755913    0.115217
389725    0    0.014777          1.06111      0.762564    0.118999
389726    0   0.0092033          1.11264      0.772067    0.121868
389727    0  0.00610425          1.16149      0.776293    0.126022
389728    0   0.0030605          1.23313      0.77934     0.130078
389729    0  0.00039365          1.4236       0.825257    0.148088
389730    0    0.140697          0.836551     0.337284    0.0895105
389731    0   0.0327245          0.818653     0.430135    0.0906859
389732    0   0.0029286          0.807212     0.624062    0.0987951
389733    0  0.00090076          0.838514     0.712603    0.111202
389734    0  0.00039975          0.881301     0.745373    0.119911
389735    0 0.000214675          0.905089     0.766054    0.12505
389736    0 0.000128025          0.934974     0.77512     0.13058
389737    0   8.053e-05          0.958028     0.788423    0.134374
389738    0  5.2975e-05          0.972912     0.786664    0.140084
389739    0  2.4475e-05          1.00266      0.797797    0.146766
389740    0   1.212e-05          1.02393      0.810392    0.153748
389741    0 1.08975e-06          1.09383      0.836798    0.183424
