# author : tripiana@cern.ch (please report any problems)
# date   : 10/07/2015
#DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
387222   61       0.00615134       1.0          1.0          0.162953    
387223   61       0.00615134       1.0          1.0          0.162953    
387224   61       0.00615134       1.0          1.0          0.162953    
387225  61        64.5085          1.0       1.1769E-01      0.144098
387226  61        21.5949          1.0       1.6821E-01      0.140595
387227  61        8.51615          1.0       2.2641E-01      0.139223
387228  61        3.78661          1.0       2.7894E-01      0.136877
387229  61        1.83537          1.0       3.1989E-01      0.136985
387230  61        0.948333         1.0       3.5568E-01      0.134559
387231  61        0.51848          1.0       3.8616E-01      0.133797
387232  61        0.296128         1.0       4.0912E-01      0.132687
387233  61        0.174599         1.0       4.3392E-01      0.132074
387234  61        0.107045         1.0       4.4915E-01      0.129232
387235  61        21.5949          1.0       2.1800E-01      0.140595
387236  61        8.51615          1.0       3.0951E-01      0.139223
387237  61        3.78661          1.0       3.7995E-01      0.136877
387238  61        1.83537          1.0       4.3601E-01      0.136985
387239  61        0.948333         1.0       4.7420E-01      0.134559
387240  61        0.51848          1.0       5.0788E-01      0.133797
387241  61        0.296128         1.0       5.3281E-01      0.132687
387242  61        0.174599         1.0       5.5644E-01      0.132074
387243  61        0.107045         1.0       5.7151E-01      0.129232
387244  61        3.78661          1.0       4.7587E-01      0.136877
387245  61        1.83537          1.0       5.2947E-01      0.136985
387246  61        1.83537          1.0       6.4555E-01      0.136985
387247  61        64.5085          1.0       1.2991E-01      0.144098
387248  61        36.3818          1.0       1.4013E-01      0.142189
387249  61        36.3818          1.0       1.5956E-01      0.142189
388240  61        0.948333         1.0       1.0             0.134559
388241  61        0.948333         1.0       1.0             0.134559
388242  61        0.51848          1.0       1.0             0.133797
388243  61        0.296128         1.0       1.0             0.132687
388244  61        0.296128         1.0       1.0             0.132687
388245  61        0.0670476        1.0       1.0             0.133429
388246  61        0.0431418        1.0       1.0             0.137455
388247  61        0.0283338        1.0       1.0             0.14171
388248  61        0.0189612        1.0       1.0             0.14702
388249  61        0.0189612        1.0       1.0             0.14702
388250  61        0.0189612        1.0       1.0             0.14702
388251  61        0.0128895        1.0       1.0             0.152026
388252  61        0.0128895        1.0       1.0             0.152026
388253  61        0.0128895        1.0       1.0             0.152026
388254  61        0.0128895        1.0       1.0             0.152026
388255  61        0.0128895        1.0       1.0             0.152026
388256  61        0.0128895        1.0       1.0             0.152026
388257  61        0.00883465       1.0       1.0             0.157177
388258  61        0.00883465       1.0       1.0             0.157177
388259  61        0.00883465       1.0       1.0             0.157177
388260  61        0.00883465       1.0       1.0             0.157177
388261  61        0.00883465       1.0       1.0             0.157177
388262  61        0.00883465       1.0       1.0             0.157177
388263  61        0.00883465       1.0       1.0             0.157177
388264  61        0.00883465       1.0       1.0             0.157177
388265  61        0.00883465       1.0       1.0             0.157177
388266  61        0.00615134       1.0       1.0             0.162953
388267  61        0.00615134       1.0       1.0             0.162953
388268  61        0.00615134       1.0       1.0             0.162953
388269  61        0.00615134       1.0       1.0             0.162953
388270  61        0.00615134       1.0       1.0             0.162953
388271  61        0.00615134       1.0       1.0             0.162953
388580  61        1.83537          1.0       0.14599         0.136985
388581  61        0.948333         1.0       0.14020         0.134559
388582  61        0.51848          1.0       0.13507         0.133797
388583  61        0.296128         1.0       0.13431         0.132687
388584  61        0.174599         1.0       0.12874         0.132074
388585  61        0.107045         1.0       0.12646         0.129232
388586  61        64.5085          1.0       0.14722         0.144098
388587  61        21.5949          1.0       0.32304         0.140595
388588  61        21.5949          1.0       0.30219         0.140595
388589  61        8.51615          1.0       0.16778         0.139223
388590  61        3.78661          1.0       0.15699         0.136877
388591  61        1.83537          1.0       0.14591         0.136985
388592  61        0.948333         1.0       0.13830         0.134559
388593  61        0.51848          1.0       0.13352         0.133797
388594  61        0.296128         1.0       0.12674         0.132687
388595  61        0.174599         1.0       0.12156         0.132074
388596  61        0.107045         1.0       0.11828         0.129232
388597  61        3.78661          1.0       0.14348         0.136877
388598  61        1.83537          1.0       0.13258         0.136985
388599  61        1.83537          1.0       0.10897         0.136985
388600  61        64.5085          1.0       0.16119         0.144098
388601  61        8.51615          1.0       0.15441         0.139223
388602  61        3.78661          1.0       0.15000         0.136877
389205  61        8.51615          1.0       6.3740E-01      0.139223        
389206  61        1.83537          1.0       8.7773E-01      0.136985
389207  61        1.83537          1.0       8.3975E-01      0.136985
389208  61        0.296128         1.0       1.0             0.132687
389209  61        0.296128         1.0       1.0             0.132687
389210  61        0.296128         1.0       1.0             0.132687
389212  61        0.174599         1.0       1.0             0.132074
389213  61        0.107045         1.0       1.0             0.129232
389214  61        0.107045         1.0       1.0             0.129232
389216  61        0.0670476        1.0       1.0             0.133429
389217  61        0.0431418        1.0       1.0             0.137455
389218  61        0.0283338        1.0       1.0             0.14171
389219  61        0.0189612        1.0       1.0             0.14702
389220  61        0.0189612        1.0       1.0             0.14702
389221  61        0.0128895        1.0       1.0             0.152026
389222  61        0.0128895        1.0       1.0             0.152026
389223  61        0.0128895        1.0       1.0             0.152026
389224  61        0.00883465       1.0       1.0             0.157177
389225  61        0.00883465       1.0       1.0             0.157177
389226  61        0.00883465       1.0       1.0             0.157177
389227  61        0.00883465       1.0       1.0             0.157177
389230  61        0.00615134       1.0       1.0             0.162953
389231  61        0.00615134       1.0       1.0             0.162953
389232  61        0.00615134       1.0       1.0             0.162953
389233  61        0.00432261       1.0       1.0             0.167859
389234  61        0.00432261       1.0       1.0             0.167859
389235  61        0.00432261       1.0       1.0             0.167859
389236  61        0.00432261       1.0       1.0             0.167859
389237  61        0.00432261       1.0       1.0             0.167859
389238  61        0.00432261       1.0       1.0             0.167859
389239  61        0.00432261       1.0       1.0             0.167859
389240  61        0.00432261       1.0       1.0             0.167859
389241  61        0.00432261       1.0       1.0             0.167859
389242  61        0.00432261       1.0       1.0             0.167859
389243  61        0.00432261       1.0       1.0             0.167859
389244  61        0.00432261       1.0       1.0             0.167859
389245  61        0.00307413       1.0       1.0             0.173377
389246  61        0.00307413       1.0       1.0             0.173377
389247  61        0.00307413       1.0       1.0             0.173377
389248  61        0.00307413       1.0       1.0             0.173377
389249  61        0.00307413       1.0       1.0             0.173377
389250  61        0.00307413       1.0       1.0             0.173377
389251  61        0.00307413       1.0       1.0             0.173377
389252  61        0.00307413       1.0       1.0             0.173377
389253  61        0.00307413       1.0       1.0             0.173377
389254  61        0.00307413       1.0       1.0             0.173377
389255  61        0.00307413       1.0       1.0             0.173377
389256  61        0.00307413       1.0       1.0             0.173377
389257  61        0.00221047       1.0       1.0             0.179259
389258  61        0.00221047       1.0       1.0             0.179259
389259  61        0.00221047       1.0       1.0             0.179259
389260  61        0.00221047       1.0       1.0             0.179259
389261  61        0.00221047       1.0       1.0             0.179259
389262  61        0.00221047       1.0       1.0             0.179259
389263  61        0.00221047       1.0       1.0             0.179259
389264  61        0.00221047       1.0       1.0             0.179259
389265  61        0.00221047       1.0       1.0             0.179259
389266  61        0.00221047       1.0       1.0             0.179259
389267  61        0.00221047       1.0       1.0             0.179259
389268  61        0.00221047       1.0       1.0             0.179259
389269  61        0.00159844       1.0       1.0             0.185209
389270  61        0.00159844       1.0       1.0             0.185209
389271  61        0.00159844       1.0       1.0             0.185209
389272  61        0.00159844       1.0       1.0             0.185209
389273  61        0.00159844       1.0       1.0             0.185209
389274  61        0.00159844       1.0       1.0             0.185209
389275  61        0.00159844       1.0       1.0             0.185209
389276  61        0.00159844       1.0       1.0             0.185209
389277  61        0.00159844       1.0       1.0             0.185209
389278  61        0.00159844       1.0       1.0             0.185209
389279  61        0.00159844       1.0       1.0             0.185209
389280  61        0.00159844       1.0       1.0             0.185209
389281  61        0.0011583        1.0       1.0             0.193006
389282  61        0.0011583        1.0       1.0             0.193006
389283  61        0.0011583        1.0       1.0             0.193006
389284  61        0.0011583        1.0       1.0             0.193006
389285  61        0.0011583        1.0       1.0             0.193006
389286  61        0.0011583        1.0       1.0             0.193006
389287  61        0.0011583        1.0       1.0             0.193006
389288  61        0.0011583        1.0       1.0             0.193006
389289  61        0.0011583        1.0       1.0             0.193006
389290  61        0.0011583        1.0       1.0             0.193006
389291  61        0.0011583        1.0       1.0             0.193006
389292  61        0.0011583        1.0       1.0             0.193006
389293  61        0.000850345      1.0       1.0             0.201604
389294  61        0.000850345      1.0       1.0             0.201604
389295  61        0.000850345      1.0       1.0             0.201604
389296  61        0.000850345      1.0       1.0             0.201604
389297  61        0.000850345      1.0       1.0             0.201604
389298  61        0.000850345      1.0       1.0             0.201604
389299  61        0.000850345      1.0       1.0             0.201604
389300  61        0.000850345      1.0       1.0             0.201604
389301  61        0.000850345      1.0       1.0             0.201604
389302  61        0.000850345      1.0       1.0             0.201604
389303  61        0.000850345      1.0       1.0             0.201604
389304  61        0.000850345      1.0       1.0             0.201604
391101  61 	  82.2541 	   1.0 	     0.2089460 	     0.144677
391102  61 	  72.7397 	   1.0 	     0.2331095	     0.144452
