ROS 	 Cost Events Processed 	 Events Rate (Hz) 	 wall Time (s) 	 #lbs 	 Requests 	 Retrievals 	 Retrievals/event 	 Request rate (Hz)	 Retrieval rate (Hz)	 Retrieved data (Kb/s)	 Time per ROS retrieval (ms) 	 Time per event (ms) 	 ROB/request 
ROS-LAR-EMBC-10 	 31090 	 11722.6 +/- 93.6261 	 5635.05 	 95 	 3.13562e+08 	 6.78649e+07 	 1.0 	 55645.0 +/- 465.3 	 12043.3 +/- 97.1 	 41331.0 +/- 377.2 	 0.0286644 	 0.0294488 	 2.9 
ROS-LAR-EMBC-05 	 30802 	 11586.8 +/- 91.3086 	 5635.05 	 95 	 3.09867e+08 	 6.75385e+07 	 1.0 	 54989.2 +/- 419.5 	 11985.4 +/- 95.3 	 41217.3 +/- 365.7 	 0.0319179 	 0.0330161 	 3.0 
ROS-LAR-EMBA-15 	 30855 	 11563.7 +/- 90.7178 	 5635.05 	 95 	 3.12942e+08 	 6.72993e+07 	 1.0 	 55535.0 +/- 459.0 	 11943.0 +/- 97.7 	 41207.8 +/- 357.6 	 0.0312523 	 0.0322775 	 2.9 
ROS-LAR-EMBC-15 	 30550 	 11523.4 +/- 95.1341 	 5635.05 	 95 	 3.08019e+08 	 6.71561e+07 	 1.0 	 54661.3 +/- 456.5 	 11917.6 +/- 101.3 	 40235.6 +/- 332.0 	 0.0298502 	 0.0308713 	 2.9 
ROS-LAR-EMBA-10 	 30875 	 11580.5 +/- 87.6216 	 5635.05 	 95 	 3.11199e+08 	 6.70446e+07 	 1.0 	 55225.7 +/- 447.7 	 11897.8 +/- 91.4 	 40984.8 +/- 372.8 	 0.0289189 	 0.0297112 	 2.9 
ROS-TRT-BC-00 	 24969 	 9686.05 +/- 81.2598 	 5635.05 	 95 	 1.13063e+08 	 6.69328e+07 	 1.2 	 20064.2 +/- 193.9 	 11877.9 +/- 104.2 	 42948.0 +/- 376.8 	 0.0146126 	 0.0179194 	 3.3 
ROS-TRT-BC-01 	 24699 	 9599 +/- 81.1146 	 5635.05 	 95 	 1.11249e+08 	 6.64431e+07 	 1.2 	 19742.3 +/- 189.5 	 11791.0 +/- 105.7 	 43756.3 +/- 394.2 	 0.0143614 	 0.0176409 	 3.3 
ROS-LAR-EMBA-00 	 30742 	 11502.1 +/- 86.5396 	 5635.05 	 95 	 3.07088e+08 	 6.64173e+07 	 1.0 	 54496.0 +/- 421.1 	 11786.5 +/- 90.1 	 40336.1 +/- 378.8 	 0.0342771 	 0.0351247 	 2.9 
ROS-LAR-EMBC-00 	 30556 	 11436.6 +/- 86.9886 	 5635.05 	 95 	 3.04992e+08 	 6.62162e+07 	 1.0 	 54124.1 +/- 416.8 	 11750.8 +/- 90.3 	 39952.6 +/- 355.1 	 0.0333281 	 0.0342438 	 2.9 
ROS-TRT-BA-00 	 24815 	 9519.09 +/- 75.0689 	 5635.05 	 95 	 1.11047e+08 	 6.59365e+07 	 1.2 	 19706.5 +/- 181.6 	 11701.1 +/- 101.1 	 42106.2 +/- 381.5 	 0.014636 	 0.017991 	 3.3 
ROS-TRT-BA-01 	 24388 	 9425.3 +/- 77.1625 	 5635.05 	 95 	 1.09752e+08 	 6.51076e+07 	 1.2 	 19476.6 +/- 193.1 	 11554.0 +/- 100.8 	 41486.9 +/- 369.6 	 0.0144601 	 0.017726 	 3.3 
ROS-LAR-EMBA-06 	 28671 	 10779.3 +/- 88.6859 	 5635.05 	 95 	 2.86112e+08 	 6.25008e+07 	 1.0 	 50773.7 +/- 398.8 	 11091.4 +/- 92.2 	 37721.5 +/- 340.3 	 0.033221 	 0.0341829 	 2.9 
ROS-LAR-EMBA-11 	 28712 	 10735.2 +/- 81.2883 	 5635.05 	 95 	 2.87701e+08 	 6.24071e+07 	 1.0 	 51055.7 +/- 398.8 	 11074.8 +/- 85.0 	 37668.0 +/- 319.8 	 0.0294184 	 0.0303491 	 2.9 
ROS-LAR-EMBA-16 	 28585 	 10707.4 +/- 87.3895 	 5635.05 	 95 	 2.88709e+08 	 6.23306e+07 	 1.0 	 51234.4 +/- 447.4 	 11061.2 +/- 94.4 	 37973.9 +/- 371.7 	 0.0306591 	 0.0316722 	 2.9 
ROS-LAR-EMBC-11 	 28697 	 10802.6 +/- 89.871 	 5635.05 	 95 	 2.90199e+08 	 6.22774e+07 	 1.0 	 51498.9 +/- 437.0 	 11051.8 +/- 92.8 	 38397.4 +/- 365.2 	 0.0289099 	 0.0295768 	 2.9 
ROS-LAR-EMBC-06 	 28565 	 10673.3 +/- 81.7794 	 5635.05 	 95 	 2.84309e+08 	 6.19738e+07 	 1.0 	 50453.8 +/- 387.2 	 10997.9 +/- 85.6 	 37513.0 +/- 344.9 	 0.0325723 	 0.0335628 	 2.9 
ROS-LAR-EMBC-16 	 28314 	 10678.2 +/- 90.4694 	 5635.05 	 95 	 2.82502e+08 	 6.1868e+07 	 1.0 	 50133.0 +/- 432.2 	 10979.1 +/- 93.4 	 36908.6 +/- 349.0 	 0.0292975 	 0.0301233 	 2.9 
ROS-LAR-EMBA-01 	 28326 	 10563.9 +/- 82.6072 	 5635.05 	 95 	 2.80967e+08 	 6.12093e+07 	 1.0 	 49860.5 +/- 391.3 	 10862.2 +/- 88.9 	 36808.4 +/- 337.9 	 0.0319956 	 0.0328992 	 2.9 
ROS-LAR-EMBC-01 	 28011 	 10490.4 +/- 84.3914 	 5635.05 	 95 	 2.79967e+08 	 6.05406e+07 	 1.0 	 49683.1 +/- 404.5 	 10743.6 +/- 87.1 	 36678.5 +/- 362.4 	 0.0332472 	 0.0340496 	 2.9 
ROS-LAR-EMECA-11 	 24993 	 9359.37 +/- 81.1745 	 5635.05 	 95 	 4.0033e+08 	 5.75664e+07 	 1.1 	 71042.9 +/- 610.1 	 10215.8 +/- 93.9 	 34527.0 +/- 326.6 	 0.0304632 	 0.0332506 	 1.9 
ROS-LAR-EMECC-11 	 24780 	 9379.52 +/- 84.6993 	 5635.05 	 95 	 3.961e+08 	 5.71429e+07 	 1.1 	 70292.3 +/- 589.8 	 10140.6 +/- 90.7 	 34170.1 +/- 301.3 	 0.0302971 	 0.0327555 	 1.9 
ROS-TGC-ECA-00 	 20458 	 9481.24 +/- 101.029 	 5635.05 	 95 	 1.6751e+08 	 5.70177e+07 	 1.1 	 29726.4 +/- 245.6 	 10118.4 +/- 113.0 	 3786.8 +/- 44.2 	 0.017519 	 0.0186963 	 1.0 
ROS-LAR-EMBA-19 	 26046 	 9739.44 +/- 81.48 	 5635.05 	 95 	 2.15202e+08 	 5.68502e+07 	 1.0 	 38190.0 +/- 318.8 	 10088.7 +/- 88.7 	 33621.6 +/- 312.8 	 0.0308607 	 0.0319674 	 3.3 
ROS-LAR-EMECC-04 	 24412 	 9234.8 +/- 81.7492 	 5635.05 	 95 	 1.9675e+08 	 5.67316e+07 	 1.1 	 34915.4 +/- 304.6 	 10067.6 +/- 88.3 	 18053.9 +/- 160.9 	 0.037197 	 0.0405516 	 1.8 
ROS-LAR-EMBC-14 	 26202 	 9813.18 +/- 82.23 	 5635.05 	 95 	 2.15742e+08 	 5.66594e+07 	 1.0 	 38285.8 +/- 315.3 	 10054.8 +/- 85.5 	 34021.7 +/- 328.5 	 0.0279498 	 0.028638 	 3.4 
ROS-LAR-EMBA-09 	 25874 	 9720.32 +/- 83.9507 	 5635.05 	 95 	 2.13214e+08 	 5.65344e+07 	 1.0 	 37837.1 +/- 302.5 	 10032.6 +/- 87.4 	 33492.1 +/- 292.0 	 0.0309732 	 0.0319684 	 3.3 
ROS-LAR-EMBC-09 	 25977 	 9671.63 +/- 76.8131 	 5635.05 	 95 	 2.13718e+08 	 5.63861e+07 	 1.0 	 37926.6 +/- 299.1 	 10006.3 +/- 81.3 	 33168.5 +/- 313.7 	 0.0305362 	 0.0315929 	 3.3 
ROS-LAR-EMECA-04 	 24257 	 9129.97 +/- 83.203 	 5635.05 	 95 	 1.94648e+08 	 5.61668e+07 	 1.1 	 34542.3 +/- 309.3 	 9967.4 +/- 92.4 	 17552.3 +/- 158.4 	 0.0326273 	 0.03562 	 1.7 
ROS-LAR-EMBA-14 	 25903 	 9651.58 +/- 76.0366 	 5635.05 	 95 	 2.12782e+08 	 5.61544e+07 	 1.0 	 37760.5 +/- 297.9 	 9965.2 +/- 79.9 	 33066.1 +/- 280.1 	 0.0284196 	 0.0293431 	 3.3 
ROS-LAR-EMBC-19 	 25517 	 9625.33 +/- 86.7035 	 5635.05 	 95 	 2.10882e+08 	 5.59758e+07 	 1.0 	 37423.2 +/- 335.8 	 9933.5 +/- 95.3 	 32731.8 +/- 315.1 	 0.0292746 	 0.0302119 	 3.3 
ROS-LAR-EMECA-07 	 24289 	 9212.81 +/- 86.9529 	 5635.05 	 95 	 2.89229e+08 	 5.59098e+07 	 1.1 	 51326.8 +/- 464.9 	 9921.8 +/- 101.1 	 32051.2 +/- 319.5 	 0.0288459 	 0.0310658 	 2.6 
ROS-LAR-EMBA-04 	 25773 	 9584.18 +/- 76.3842 	 5635.05 	 95 	 2.10816e+08 	 5.55818e+07 	 1.0 	 37411.6 +/- 291.8 	 9863.6 +/- 82.7 	 32654.9 +/- 280.0 	 0.0318596 	 0.0327884 	 3.3 
ROS-LAR-EMBC-04 	 25599 	 9570.39 +/- 79.6525 	 5635.05 	 95 	 2.10117e+08 	 5.52192e+07 	 1.0 	 37287.5 +/- 312.8 	 9799.2 +/- 85.6 	 32685.3 +/- 326.4 	 0.0325834 	 0.0333625 	 3.3 
ROS-LAR-EMECC-07 	 24117 	 9155.5 +/- 84.5414 	 5635.05 	 95 	 2.88891e+08 	 5.5024e+07 	 1.1 	 51266.8 +/- 446.1 	 9764.6 +/- 89.6 	 32327.2 +/- 306.5 	 0.0268422 	 0.0286279 	 2.6 
ROS-LAR-EMECC-02 	 24050 	 9074.6 +/- 78.3679 	 5635.05 	 95 	 2.88731e+08 	 5.46094e+07 	 1.1 	 51238.4 +/- 456.6 	 9691.0 +/- 84.2 	 30895.0 +/- 297.2 	 0.0376154 	 0.0401706 	 2.6 
ROS-LAR-EMECA-02 	 24147 	 9089.24 +/- 79.9125 	 5635.05 	 95 	 2.86877e+08 	 5.44394e+07 	 1.1 	 50909.4 +/- 429.7 	 9660.9 +/- 84.9 	 30069.0 +/- 281.6 	 0.031924 	 0.0339317 	 2.5 
ROS-LAR-EMECC-09 	 23306 	 8756.98 +/- 81.1808 	 5635.05 	 95 	 3.24875e+08 	 5.31855e+07 	 1.1 	 57652.6 +/- 521.1 	 9438.3 +/- 86.7 	 29483.5 +/- 271.0 	 0.0322248 	 0.0347321 	 2.1 
ROS-LAR-EMECA-09 	 23553 	 8717.28 +/- 71.3224 	 5635.05 	 95 	 3.26597e+08 	 5.30339e+07 	 1.1 	 57958.1 +/- 490.1 	 9411.4 +/- 77.2 	 29384.8 +/- 255.0 	 0.0355961 	 0.0384306 	 2.2 
ROS-LAR-EMECC-03 	 22644 	 8527.17 +/- 76.3485 	 5635.05 	 95 	 1.92455e+08 	 5.12674e+07 	 1.1 	 34153.2 +/- 306.5 	 9098.0 +/- 82.0 	 27261.8 +/- 249.4 	 0.0380639 	 0.0406118 	 3.0 
ROS-LAR-EMECC-05 	 23017 	 8658.64 +/- 79.3534 	 5635.05 	 95 	 2.20606e+08 	 5.10337e+07 	 1.0 	 39148.9 +/- 346.5 	 9056.5 +/- 83.4 	 26471.1 +/- 271.8 	 0.0287166 	 0.0300361 	 2.9 
ROS-LAR-EMECA-05 	 22984 	 8581.32 +/- 76.8622 	 5635.05 	 95 	 2.19557e+08 	 5.07505e+07 	 1.0 	 38962.7 +/- 348.8 	 9006.2 +/- 84.5 	 26020.0 +/- 262.0 	 0.0291324 	 0.0305749 	 2.8 
ROS-LAR-EMECA-03 	 22606 	 8470.06 +/- 73.6442 	 5635.05 	 95 	 1.90429e+08 	 5.06196e+07 	 1.1 	 33793.6 +/- 280.8 	 8983.0 +/- 78.3 	 26787.5 +/- 243.5 	 0.0317721 	 0.0336962 	 2.9 
ROS-LAR-MET 	 16074 	 8825.14 +/- 105.873 	 5635.05 	 95 	 4.97301e+07 	 4.97301e+07 	 1.0 	 8825.1 +/- 105.9 	 8825.1 +/- 105.9 	 268753.1 +/- 3224.2 	 0.568305 	 0.568305 	 8.0 
ROS-TIL-MET 	 16074 	 8825.14 +/- 105.873 	 5635.05 	 95 	 9.94602e+07 	 4.97301e+07 	 1.0 	 17650.3 +/- 211.7 	 8825.1 +/- 105.9 	 38903.8 +/- 466.7 	 0.00558942 	 0.00558942 	 4.0 
ROS-LAR-EMECA-08 	 21484 	 8173.77 +/- 84.204 	 5635.05 	 95 	 1.82074e+08 	 4.92923e+07 	 1.1 	 32311.0 +/- 303.7 	 8747.5 +/- 96.5 	 25737.6 +/- 253.9 	 0.0252826 	 0.027057 	 2.9 
ROS-LAR-EMECC-08 	 21241 	 8056.61 +/- 78.6157 	 5635.05 	 95 	 1.8037e+08 	 4.83816e+07 	 1.1 	 32008.7 +/- 291.1 	 8585.8 +/- 83.6 	 25927.8 +/- 275.2 	 0.0256909 	 0.0273785 	 3.0 
ROS-TGC-ECC-00 	 16866 	 8058.41 +/- 99.1952 	 5635.05 	 95 	 1.36009e+08 	 4.81894e+07 	 1.1 	 24136.2 +/- 224.6 	 8551.7 +/- 110.1 	 3287.7 +/- 43.4 	 0.0146173 	 0.0155121 	 1.0 
ROS-TRT-BC-02 	 18694 	 7214.9 +/- 68.3167 	 5635.05 	 95 	 7.90358e+07 	 4.74306e+07 	 1.2 	 14025.7 +/- 153.3 	 8417.1 +/- 84.5 	 27232.4 +/- 276.8 	 0.0150429 	 0.0175493 	 2.9 
ROS-TRT-BA-02 	 18707 	 7207.33 +/- 66.3616 	 5635.05 	 95 	 7.95589e+07 	 4.72819e+07 	 1.2 	 14118.6 +/- 156.8 	 8390.7 +/- 82.7 	 27064.1 +/- 276.4 	 0.0150718 	 0.0175464 	 3.0 
