# lxplus: ~sfratina/public/TRT/swIndex.txt, columns:
# barrel only, perhaps order of chips for side C is slightly different in one board
# - straw number 0-1641
# - chip number 0-103
# - layer number 0-2
# - straw layer number 0-29
# - straw number within a layer 0-15
 196  17 0 11  3
 197  17 0 11  2
 198  17 0 11  1
 199  17 0 11  0
 200   7 0 12 17
 201   7 0 12 16
 202   7 0 12 15
 203   9 0 12 14
 204   9 0 12 13
 205  15 0 12 12
 206  15 0 12 11
 207  15 0 12 10
 208  15 0 12  9
 209  15 0 12  8
 210  16 0 12  7
 211  16 0 12  6
 212  16 0 12  5
 213  16 0 12  4
 214  17 0 12  3
 215  17 0 12  2
 216  17 0 12  1
 217  17 0 12  0
 218   9 0 13 17
 219   9 0 13 16
 220   9 0 13 15
 221   9 0 13 14
 222  14 0 13 13
 223  13 0 13 12
 224  15 0 13 11
 225  15 0 13 10
 226  15 0 13  9
 227  16 0 13  8
 228  16 0 13  7
 229  16 0 13  6
 230  16 0 13  5
 231  16 0 13  4
 232  17 0 13  3
 233  17 0 13  2
 234  17 0 13  1
 235  17 0 13  0
 236   9 0 14 17
 237   9 0 14 16
 238   9 0 14 15
 239  14 0 14 14
 240  14 0 14 13
 241  15 0 14 12
 242  15 0 14 11
 243  13 0 14 10
 244  13 0 14  9
 245  12 0 14  8
 246  12 0 14  7
 247  12 0 14  6
 248  16 0 14  5
 249  17 0 14  4
 250  17 0 14  3
 251  10 0 14  2
 252  10 0 14  1
 253  10 0 14  0
 254   9 0 15 18
 255   9 0 15 17
 256   9 0 15 16
 257  14 0 15 15
 258  14 0 15 14
 259  13 0 15 13
 260  13 0 15 12
 261  13 0 15 11
 262  13 0 15 10
 263  12 0 15  9
 264  12 0 15  8
 265  12 0 15  7
 266  11 0 15  6
 267  11 0 15  5
 268  11 0 15  4
 269  11 0 15  3
 270  10 0 15  2
 271  10 0 15  1
 272  10 0 15  0
 273   9 0 16 18
 274   9 0 16 17
 275  14 0 16 16
 276  14 0 16 15
 277  14 0 16 14
 278  13 0 16 13
 279  13 0 16 12
 280  13 0 16 11
 281  13 0 16 10
 282  12 0 16  9
 283  12 0 16  8
 284  12 0 16  7
 285  11 0 16  6
 286  11 0 16  5
 287  11 0 16  4
 288  11 0 16  3
 289  10 0 16  2
 290  10 0 16  1
 291  10 0 16  0
 292   9 0 17 18
 293  14 0 17 17
 294  14 0 17 16
 295  14 0 17 15
 296  14 0 17 14
 297  13 0 17 13
 298  13 0 17 12
 299  13 0 17 11
 300  12 0 17 10
 301  12 0 17  9
 302  12 0 17  8
 303  11 0 17  7
 304  11 0 17  6
 305  11 0 17  5
 306  11 0 17  4
 307  10 0 17  3
 308  10 0 17  2
 309  10 0 17  1
 310  10 0 17  0
 311   9 0 18 17
 312  14 0 18 16
 313  14 0 18 15
 314  14 0 18 14
 315  14 0 18 13
 316  13 0 18 12
 317  13 0 18 11
 318  12 0 18 10
 319  12 0 18  9
 320  12 0 18  8
 321  12 0 18  7
 322  11 0 18  6
 323  11 0 18  5
 324  11 0 18  4
 325  11 0 18  3
 326  10 0 18  2
 327  10 0 18  1
 328  10 0 18  0
 329  25 1  0 18
 330  25 1  0 17
 331  25 1  0 16
 332  25 1  0 15
 333  24 1  0 14
 334  24 1  0 13
 335  24 1  0 12
 336  24 1  0 11
 337  23 1  0 10
 338  23 1  0  9
 339  23 1  0  8
 340  23 1  0  7
 341  22 1  0  6
 342  22 1  0  5
 343  22 1  0  4
 344  21 1  0  3
 345  21 1  0  2
 346  21 1  0  1
 347  21 1  0  0
 348  25 1  1 19
 349  25 1  1 18
 350  25 1  1 17
 351  25 1  1 16
 352  24 1  1 15
 353  24 1  1 14
 354  24 1  1 13
 355  24 1  1 12
 356  23 1  1 11
 357  23 1  1 10
 358  23 1  1  9
 359  23 1  1  8
 360  22 1  1  7
 361  22 1  1  6
 362  22 1  1  5
 363  22 1  1  4
 364  21 1  1  3
 365  21 1  1  2
 366  21 1  1  1
 367  21 1  1  0
 368  53 1  2 19
 369  25 1  2 18
 370  25 1  2 17
 371  24 1  2 16
 372  24 1  2 15
 373  24 1  2 14
 374  24 1  2 13
 375  24 1  2 12
 376  23 1  2 11
 377  23 1  2 10
 378  23 1  2  9
 379  23 1  2  8
 380  22 1  2  7
 381  22 1  2  6
 382  22 1  2  5
 383  22 1  2  4
 384  21 1  2  3
 385  21 1  2  2
 386  21 1  2  1
 387  21 1  2  0
 388  53 1  3 19
 389  53 1  3 18
 390  53 1  3 17
 391  25 1  3 16
 392  25 1  3 15
 393  25 1  3 14
 394  24 1  3 13
 395  24 1  3 12
 396  24 1  3 11
 397  23 1  3 10
 398  23 1  3  9
 399  23 1  3  8
 400  22 1  3  7
 401  22 1  3  6
 402  22 1  3  5
 403  22 1  3  4
 404  22 1  3  3
 405  21 1  3  2
 406  21 1  3  1
 407  21 1  3  0
 408  53 1  4 19
 409  53 1  4 18
 410  53 1  4 17
 411  53 1  4 16
 412  25 1  4 15
 413  26 1  4 14
 414  27 1  4 13
 415  27 1  4 12
 416  23 1  4 11
 417  27 1  4 10
 418  27 1  4  9
 419  28 1  4  8
 420  28 1  4  7
 421  28 1  4  6
 422  28 1  4  5
 423  29 1  4  4
 424  29 1  4  3
 425  29 1  4  2
 426  29 1  4  1
 427  21 1  4  0
 428  53 1  5 19
 429  53 1  5 18
 430  53 1  5 17
 431  25 1  5 16
 432  25 1  5 15
 433  26 1  5 14
 434  26 1  5 13
 435  26 1  5 12
 436  26 1  5 11
 437  27 1  5 10
 438  27 1  5  9
 439  27 1  5  8
 440  28 1  5  7
 441  28 1  5  6
 442  28 1  5  5
 443  28 1  5  4
 444  29 1  5  3
 445  29 1  5  2
 446  29 1  5  1
 447  29 1  5  0
 448  53 1  6 20
 449  53 1  6 19
 450  53 1  6 18
 451  53 1  6 17
 452  53 1  6 16
 453  26 1  6 15
 454  26 1  6 14
 455  26 1  6 13
 456  27 1  6 12
 457  27 1  6 11
 458  27 1  6 10
 459  27 1  6  9
 460  27 1  6  8
 461  28 1  6  7
 462  28 1  6  6
 463  28 1  6  5
 464  28 1  6  4
 465  29 1  6  3
 466  29 1  6  2
 467  29 1  6  1
 468  29 1  6  0
 469  52 1  7 20
 470  52 1  7 19
 471  51 1  7 18
 472  51 1  7 17
 473  51 1  7 16
 474  26 1  7 15
 475  26 1  7 14
 476  26 1  7 13
 477  26 1  7 12
 478  26 1  7 11
 479  27 1  7 10
 480  27 1  7  9
 481  27 1  7  8
 482  28 1  7  7
 483  28 1  7  6
 484  28 1  7  5
 485  28 1  7  4
 486  29 1  7  3
 487  29 1  7  2
 488  29 1  7  1
 489  29 1  7  0
 490  52 1  8 20
 491  52 1  8 19
 492  52 1  8 18
 493  51 1  8 17
 494  51 1  8 16
 495  51 1  8 15
 496  51 1  8 14
 497  26 1  8 13
 498  26 1  8 12
 499  27 1  8 11
 500  32 1  8 10
 501  32 1  8  9
 502  32 1  8  8
 503  31 1  8  7
 504  31 1  8  6
 505  31 1  8  5
 506  31 1  8  4
 507  30 1  8  3
 508  30 1  8  2
 509  30 1  8  1
 510  30 1  8  0
 511  52 1  9 20
 512  52 1  9 19
 513  52 1  9 18
 514  52 1  9 17
 515  51 1  9 16
 516  51 1  9 15
 517  51 1  9 14
 518  51 1  9 13
 519  26 1  9 12
 520  32 1  9 11
 521  32 1  9 10
 522  32 1  9  9
 523  32 1  9  8
 524  31 1  9  7
 525  31 1  9  6
 526  31 1  9  5
 527  31 1  9  4
 528  30 1  9  3
 529  30 1  9  2
 530  30 1  9  1
 531  30 1  9  0
 532  52 1 10 20
 533  52 1 10 19
 534  52 1 10 18
 535  52 1 10 17
 536  51 1 10 16
 537  51 1 10 15
 538  51 1 10 14
 539  51 1 10 13
 540  49 1 10 12
 541  32 1 10 11
 542  32 1 10 10
 543  32 1 10  9
 544  32 1 10  8
 545  31 1 10  7
 546  31 1 10  6
 547  31 1 10  5
 548  31 1 10  4
 549  30 1 10  3
 550  30 1 10  2
 551  30 1 10  1
 552  30 1 10  0
 553  47 1 11 21
 554  47 1 11 20
 555  52 1 11 19
 556  52 1 11 18
 557  52 1 11 17
 558  51 1 11 16
 559  49 1 11 15
 560  49 1 11 14
 561  49 1 11 13
 562  49 1 11 12
 563  49 1 11 11
 564  32 1 11 10
 565  32 1 11  9
 566  32 1 11  8
 567  31 1 11  7
 568  31 1 11  6
 569  31 1 11  5
 570  31 1 11  4
 571  30 1 11  3
 572  30 1 11  2
 573  30 1 11  1
 574  30 1 11  0
 575  47 1 12 21
 576  47 1 12 20
 577  47 1 12 19
 578  48 1 12 18
 579  48 1 12 17
 580  48 1 12 16
 581  48 1 12 15
 582  49 1 12 14
 583  49 1 12 13
 584  49 1 12 12
 585  50 1 12 11
 586  50 1 12 10
 587  32 1 12  9
 588  32 1 12  8
 589  33 1 12  7
 590  33 1 12  6
 591  33 1 12  5
 592  33 1 12  4
 593  34 1 12  3
 594  34 1 12  2
 595  34 1 12  1
 596  34 1 12  0
 597  47 1 13 21
 598  47 1 13 20
 599  47 1 13 19
 600  48 1 13 18
 601  48 1 13 17
 602  48 1 13 16
 603  48 1 13 15
 604  49 1 13 14
 605  49 1 13 13
 606  49 1 13 12
 607  50 1 13 11
 608  50 1 13 10
 609  50 1 13  9
 610  50 1 13  8
 611  33 1 13  7
 612  33 1 13  6
 613  33 1 13  5
 614  33 1 13  4
 615  34 1 13  3
 616  34 1 13  2
 617  34 1 13  1
 618  34 1 13  0
 619  47 1 14 21
 620  47 1 14 20
 621  47 1 14 19
 622  47 1 14 18
 623  48 1 14 17
 624  48 1 14 16
 625  48 1 14 15
 626  48 1 14 14
 627  49 1 14 13
 628  49 1 14 12
 629  50 1 14 11
 630  50 1 14 10
 631  50 1 14  9
 632  50 1 14  8
 633  50 1 14  7
 634  33 1 14  6
 635  33 1 14  5
 636  33 1 14  4
 637  34 1 14  3
 638  34 1 14  2
 639  34 1 14  1
 640  34 1 14  0
 641  47 1 15 21
 642  47 1 15 20
 643  47 1 15 19
 644  47 1 15 18
 645  48 1 15 17
 646  48 1 15 16
 647  48 1 15 15
 648  48 1 15 14
 649  49 1 15 13
 650  49 1 15 12
 651  50 1 15 11
 652  50 1 15 10
 653  50 1 15  9
 654  50 1 15  8
 655  50 1 15  7
 656  33 1 15  6
 657  33 1 15  5
 658  33 1 15  4
 659  34 1 15  3
 660  34 1 15  2
 661  34 1 15  1
 662  34 1 15  0
 663  46 1 16 22
 664  46 1 16 21
 665  46 1 16 20
 666  46 1 16 19
 667  45 1 16 18
 668  45 1 16 17
 669  45 1 16 16
 670  44 1 16 15
 671  44 1 16 14
 672  44 1 16 13
 673  43 1 16 12
 674  43 1 16 11
 675  43 1 16 10
 676  43 1 16  9
 677  42 1 16  8
 678  42 1 16  7
 679  42 1 16  6
 680  33 1 16  5
 681  33 1 16  4
 682  35 1 16  3
 683  35 1 16  2
 684  35 1 16  1
 685  35 1 16  0
 686  46 1 17 22
 687  46 1 17 21
 688  46 1 17 20
 689  46 1 17 19
 690  45 1 17 18
 691  45 1 17 17
 692  45 1 17 16
 693  45 1 17 15
 694  44 1 17 14
 695  44 1 17 13
 696  44 1 17 12
 697  43 1 17 11
 698  43 1 17 10
 699  43 1 17  9
 700  43 1 17  8
 701  42 1 17  7
 702  42 1 17  6
 703  42 1 17  5
 704  42 1 17  4
 705  35 1 17  3
 706  35 1 17  2
 707  35 1 17  1
 708  35 1 17  0
 709  46 1 18 22
 710  46 1 18 21
 711  46 1 18 20
 712  46 1 18 19
 713  45 1 18 18
 714  45 1 18 17
 715  45 1 18 16
 716  45 1 18 15
 717  45 1 18 14
 718  44 1 18 13
 719  44 1 18 12
 720  43 1 18 11
 721  43 1 18 10
 722  43 1 18  9
 723  43 1 18  8
 724  42 1 18  7
 725  42 1 18  6
 726  42 1 18  5
 727  42 1 18  4
 728  42 1 18  3
 729  35 1 18  2
 730  35 1 18  1
 731  35 1 18  0
 732  36 1 19 22
 733  46 1 19 21
 734  46 1 19 20
 735  46 1 19 19
 736  46 1 19 18
 737  45 1 19 17
 738  45 1 19 16
 739  45 1 19 15
 740  45 1 19 14
 741  44 1 19 13
 742  44 1 19 12
 743  43 1 19 11
 744  43 1 19 10
 745  43 1 19  9
 746  43 1 19  8
 747  42 1 19  7
 748  42 1 19  6
 749  40 1 19  5
 750  42 1 19  4
 751  42 1 19  3
 752  35 1 19  2
 753  35 1 19  1
 754  35 1 19  0
 755  36 1 20 22
 756  36 1 20 21
 757  36 1 20 20
 758  36 1 20 19
 759  37 1 20 18
 760  37 1 20 17
 761  37 1 20 16
 762  37 1 20 15
 763  38 1 20 14
 764  38 1 20 13
 765  38 1 20 12
 766  39 1 20 11
 767  39 1 20 10
 768  39 1 20  9
 769  39 1 20  8
 770  40 1 20  7
 771  40 1 20  6
 772  40 1 20  5
 773  41 1 20  4
 774  41 1 20  3
 775  41 1 20  2
 776  35 1 20  1
 777  35 1 20  0
 778  36 1 21 23
 779  36 1 21 22
 780  36 1 21 21
 781  36 1 21 20
 782  37 1 21 19
 783  37 1 21 18
 784  37 1 21 17
 785  37 1 21 16
 786  38 1 21 15
 787  38 1 21 14
 788  38 1 21 13
 789  38 1 21 12
 790  39 1 21 11
 791  39 1 21 10
 792  39 1 21  9
 793  40 1 21  8
 794  40 1 21  7
 795  40 1 21  6
 796  40 1 21  5
 797  41 1 21  4
 798  41 1 21  3
 799  41 1 21  2
 800  41 1 21  1
 801  41 1 21  0
 802  36 1 22 23
 803  36 1 22 22
 804  36 1 22 21
 805  36 1 22 20
 806  37 1 22 19
 807  37 1 22 18
 808  37 1 22 17
 809  37 1 22 16
 810  38 1 22 15
 811  38 1 22 14
 812  38 1 22 13
 813  38 1 22 12
 814  39 1 22 11
 815  39 1 22 10
 816  39 1 22  9
 817  39 1 22  8
 818  40 1 22  7
 819  40 1 22  6
 820  40 1 22  5
 821  40 1 22  4
 822  41 1 22  3
 823  41 1 22  2
 824  41 1 22  1
 825  41 1 22  0
 826  36 1 23 22
 827  36 1 23 21
 828  36 1 23 20
 829  37 1 23 19
 830  37 1 23 18
 831  37 1 23 17
 832  37 1 23 16
 833  38 1 23 15
 834  38 1 23 14
 835  38 1 23 13
 836  38 1 23 12
 837  38 1 23 11
 838  39 1 23 10
 839  39 1 23  9
 840  39 1 23  8
 841  40 1 23  7
 842  40 1 23  6
 843  40 1 23  5
 844  40 1 23  4
 845  41 1 23  3
 846  41 1 23  2
 847  41 1 23  1
 848  41 1 23  0
 849  54 2  0 22
 850  54 2  0 21
 851  54 2  0 20
 852  54 2  0 19
 853  55 2  0 18
 854  55 2  0 17
 855  55 2  0 16
 856  55 2  0 15
 857  56 2  0 14
 858  56 2  0 13
 859  56 2  0 12
 860  56 2  0 11
 861  57 2  0 10
 862  57 2  0  9
 863  57 2  0  8
 864  58 2  0  7
 865  58 2  0  6
 866  58 2  0  5
 867  58 2  0  4
 868  59 2  0  3
 869  59 2  0  2
 870  59 2  0  1
 871  59 2  0  0
 872  54 2  1 23
 873  54 2  1 22
 874  54 2  1 21
 875  54 2  1 20
 876  55 2  1 19
 877  55 2  1 18
 878  55 2  1 17
 879  55 2  1 16
 880  56 2  1 15
 881  56 2  1 14
 882  56 2  1 13
 883  56 2  1 12
 884  57 2  1 11
 885  57 2  1 10
 886  57 2  1  9
 887  57 2  1  8
 888  58 2  1  7
 889  58 2  1  6
 890  58 2  1  5
 891  58 2  1  4
 892  59 2  1  3
 893  59 2  1  2
 894  59 2  1  1
 895  59 2  1  0
 896  54 2  2 23
 897  54 2  2 22
 898  54 2  2 21
 899  54 2  2 20
 900  55 2  2 19
 901  55 2  2 18
 902  55 2  2 17
 903  55 2  2 16
 904  56 2  2 15
 905  56 2  2 14
 906  56 2  2 13
 907  56 2  2 12
 908  57 2  2 11
 909  57 2  2 10
 910  57 2  2  9
 911  58 2  2  8
 912  58 2  2  7
 913  58 2  2  6
 914  58 2  2  5
 915  59 2  2  4
 916  59 2  2  3
 917  59 2  2  2
 918 103 2  2  1
 919 103 2  2  0
 920  54 2  3 23
 921  54 2  3 22
 922  54 2  3 21
 923  55 2  3 20
 924  55 2  3 19
 925  55 2  3 18
 926  55 2  3 17
 927  56 2  3 16
 928  56 2  3 15
 929  56 2  3 14
 930  56 2  3 13
 931  57 2  3 12
 932  57 2  3 11
 933  57 2  3 10
 934  57 2  3  9
 935  58 2  3  8
 936  58 2  3  7
 937  58 2  3  6
 938  59 2  3  5
 939  59 2  3  4
 940  59 2  3  3
 941 103 2  3  2
 942 103 2  3  1
 943 103 2  3  0
 944  54 2  4 23
 945  64 2  4 22
 946  64 2  4 21
 947  64 2  4 20
 948  64 2  4 19
 949  63 2  4 18
 950  63 2  4 17
 951  63 2  4 16
 952  62 2  4 15
 953  62 2  4 14
 954  62 2  4 13
 955  62 2  4 12
 956  61 2  4 11
 957  61 2  4 10
 958  61 2  4  9
 959  60 2  4  8
 960  60 2  4  7
 961  58 2  4  6
 962  60 2  4  5
 963  59 2  4  4
 964  59 2  4  3
 965 103 2  4  2
 966 103 2  4  1
 967 103 2  4  0
 968  64 2  5 24
 969  64 2  5 23
 970  64 2  5 22
 971  64 2  5 21
 972  63 2  5 20
 973  63 2  5 19
 974  63 2  5 18
 975  63 2  5 17
 976  63 2  5 16
 977  62 2  5 15
 978  62 2  5 14
 979  62 2  5 13
 980  61 2  5 12
 981  61 2  5 11
 982  61 2  5 10
 983  61 2  5  9
 984  60 2  5  8
 985  60 2  5  7
 986  60 2  5  6
 987  60 2  5  5
 988 103 2  5  4
 989 103 2  5  3
 990 103 2  5  2
 991 103 2  5  1
 992 103 2  5  0
 993  64 2  6 24
 994  64 2  6 23
 995  64 2  6 22
 996  64 2  6 21
 997  63 2  6 20
 998  63 2  6 19
 999  63 2  6 18
1000  63 2  6 17
1001  62 2  6 16
1002  62 2  6 15
1003  62 2  6 14
1004  62 2  6 13
1005  61 2  6 12
1006  61 2  6 11
1007  61 2  6 10
1008  61 2  6  9
1009  60 2  6  8
1010  60 2  6  7
1011  60 2  6  6
1012  60 2  6  5
1013 103 2  6  4
1014 103 2  6  3
1015 102 2  6  2
1016 102 2  6  1
1017 102 2  6  0
1018  64 2  7 24
1019  64 2  7 23
1020  64 2  7 22
1021  64 2  7 21
1022  63 2  7 20
1023  63 2  7 19
1024  63 2  7 18
1025  63 2  7 17
1026  62 2  7 16
1027  62 2  7 15
1028  62 2  7 14
1029  62 2  7 13
1030  61 2  7 12
1031  61 2  7 11
1032  61 2  7 10
1033  60 2  7  9
1034  60 2  7  8
1035  60 2  7  7
1036  60 2  7  6
1037 103 2  7  5
1038 102 2  7  4
1039 102 2  7  3
1040 102 2  7  2
1041 102 2  7  1
1042 102 2  7  0
1043  65 2  8 24
1044  65 2  8 23
1045  65 2  8 22
1046  65 2  8 21
1047  66 2  8 20
1048  66 2  8 19
1049  66 2  8 18
1050  66 2  8 17
1051  67 2  8 16
1052  67 2  8 15
1053  67 2  8 14
1054  67 2  8 13
1055  68 2  8 12
1056  68 2  8 11
1057  68 2  8 10
1058  68 2  8  9
1059  61 2  8  8
1060  60 2  8  7
1061 101 2  8  6
1062 100 2  8  5
1063 102 2  8  4
1064 102 2  8  3
1065 102 2  8  2
1066 102 2  8  1
1067 102 2  8  0
1068  65 2  9 24
1069  65 2  9 23
1070  65 2  9 22
1071  65 2  9 21
1072  66 2  9 20
1073  66 2  9 19
1074  66 2  9 18
1075  66 2  9 17
1076  67 2  9 16
1077  67 2  9 15
1078  67 2  9 14
1079  67 2  9 13
1080  68 2  9 12
1081  68 2  9 11
1082  68 2  9 10
1083  68 2  9  9
1084  68 2  9  8
1085 101 2  9  7
1086 101 2  9  6
1087 100 2  9  5
1088 100 2  9  4
1089 102 2  9  3
1090 102 2  9  2
1091 102 2  9  1
1092  99 2  9  0
1093  65 2 10 25
1094  65 2 10 24
1095  65 2 10 23
1096  65 2 10 22
1097  66 2 10 21
1098  66 2 10 20
1099  66 2 10 19
1100  66 2 10 18
1101  67 2 10 17
1102  67 2 10 16
1103  67 2 10 15
1104  68 2 10 14
1105  68 2 10 13
1106  68 2 10 12
1107  68 2 10 11
1108  68 2 10 10
1109  68 2 10  9
1110 101 2 10  8
1111 101 2 10  7
1112 100 2 10  6
1113 100 2 10  5
1114 100 2 10  4
1115 100 2 10  3
1116  99 2 10  2
1117  99 2 10  1
1118  99 2 10  0
1119  65 2 11 25
1120  65 2 11 24
1121  65 2 11 23
1122  65 2 11 22
1123  66 2 11 21
1124  66 2 11 20
1125  66 2 11 19
1126  66 2 11 18
1127  67 2 11 17
1128  67 2 11 16
1129  67 2 11 15
1130  67 2 11 14
1131  68 2 11 13
1132  69 2 11 12
1133  69 2 11 11
1134 101 2 11 10
1135 101 2 11  9
1136 101 2 11  8
1137 101 2 11  7
1138 100 2 11  6
1139 100 2 11  5
1140 100 2 11  4
1141  99 2 11  3
1142  99 2 11  2
1143  99 2 11  1
1144  99 2 11  0
1145  71 2 12 25
1146  71 2 12 24
1147  71 2 12 23
1148  71 2 12 22
1149  71 2 12 21
1150  70 2 12 20
1151  70 2 12 19
1152  70 2 12 18
1153  70 2 12 17
1154  69 2 12 16
1155  69 2 12 15
1156  69 2 12 14
1157  69 2 12 13
1158  69 2 12 12
1159  69 2 12 11
1160 101 2 12 10
1161 101 2 12  9
1162 101 2 12  8
1163 100 2 12  7
1164 100 2 12  6
1165 100 2 12  5
1166 100 2 12  4
1167  99 2 12  3
1168  99 2 12  2
1169  99 2 12  1
1170  99 2 12  0
1171  71 2 13 25
1172  71 2 13 24
1173  71 2 13 23
1174  71 2 13 22
1175  71 2 13 21
1176  70 2 13 20
1177  70 2 13 19
1178  70 2 13 18
1179  70 2 13 17
1180  69 2 13 16
1181  69 2 13 15
1182  69 2 13 14
1183  69 2 13 13
1184  95 2 13 12
1185 101 2 13 11
1186 101 2 13 10
1187 101 2 13  9
1188 101 2 13  8
1189 100 2 13  7
1190 100 2 13  6
1191  97 2 13  5
1192  99 2 13  4
1193  99 2 13  3
1194  99 2 13  2
1195  98 2 13  1
1196  99 2 13  0
1197  71 2 14 25
1198  71 2 14 24
1199  71 2 14 23
1200  71 2 14 22
1201  70 2 14 21
1202  70 2 14 20
1203  70 2 14 19
1204  70 2 14 18
1205  70 2 14 17
1206  69 2 14 16
1207  69 2 14 15
1208  69 2 14 14
1209  95 2 14 13
1210  95 2 14 12
1211  95 2 14 11
1212  96 2 14 10
1213  96 2 14  9
1214  96 2 14  8
1215  96 2 14  7
1216  96 2 14  6
1217  97 2 14  5
1218  97 2 14  4
1219  97 2 14  3
1220  98 2 14  2
1221  98 2 14  1
1222  98 2 14  0
1223  71 2 15 26
1224  71 2 15 25
1225  72 2 15 24
1226  72 2 15 23
1227  72 2 15 22
1228  70 2 15 21
1229  70 2 15 20
1230  70 2 15 19
1231  73 2 15 18
1232  73 2 15 17
1233  73 2 15 16
1234  69 2 15 15
1235  95 2 15 14
1236  95 2 15 13
1237  95 2 15 12
1238  95 2 15 11
1239  96 2 15 10
1240  96 2 15  9
1241  96 2 15  8
1242  96 2 15  7
1243  97 2 15  6
1244  97 2 15  5
1245  97 2 15  4
1246  98 2 15  3
1247  98 2 15  2
1248  98 2 15  1
1249  98 2 15  0
1250  72 2 16 26
1251  72 2 16 25
